epoch,train_loss,train_acc_direct84,train_acc_derived84,train_acc_letter,train_acc_vowel,train_acc_makhraj,val_loss,val_acc_direct84,val_acc_derived84,val_acc_letter,val_acc_vowel,val_acc_makhraj,lr
1,6.546902634331939,0.019770642201834863,0.021559633027522937,0.04422018348623853,0.5014678899082569,0.6935321100917431,5.90894737080282,0.0417558886509636,0.055674518201284794,0.06852248394004283,0.8029978586723768,0.7130620985010707,9.98458666866564e-05
2,5.749642624811295,0.06169724770642202,0.0568348623853211,0.07761467889908256,0.784908256880734,0.7140825688073394,4.881288113890164,0.12312633832976445,0.11241970021413276,0.12955032119914348,0.9271948608137045,0.7130620985010707,9.938441702975689e-05
3,5.000608214107128,0.13068807339449542,0.11793577981651376,0.1439908256880734,0.841743119266055,0.7140825688073394,3.8664723024633765,0.23875802997858672,0.23019271948608136,0.2430406852248394,0.9528907922912205,0.7130620985010707,9.861849601988383e-05
4,4.312215010791744,0.21559633027522937,0.20733944954128442,0.23362385321100917,0.8813302752293578,0.7161009174311926,3.185952201900441,0.3618843683083512,0.37901498929336186,0.38008565310492504,0.9807280513918629,0.7301927194860813,9.755282581475767e-05
5,3.85372449017446,0.28091743119266055,0.2709633027522936,0.29862385321100915,0.8996788990825688,0.7218348623853211,2.90253264031012,0.4229122055674518,0.41541755888650966,0.4207708779443255,0.9807280513918629,0.7376873661670236,9.619397662556432e-05
6,3.5510732111799608,0.33004587155963305,0.3206880733944954,0.34541284403669725,0.9107798165137615,0.7314220183486239,2.6421146556192596,0.45610278372591007,0.4475374732334047,0.45289079229122053,0.9882226980728052,0.7387580299785867,9.455032620941837e-05
7,3.267258945517584,0.3814220183486238,0.36568807339449544,0.3898623853211009,0.9230275229357798,0.741651376146789,2.5211873830513474,0.4689507494646681,0.49143468950749464,0.4989293361884368,0.9839400428265525,0.7591006423982869,9.26320082177046e-05
8,3.0374900402279077,0.42541284403669727,0.41123853211009176,0.43646788990825686,0.925045871559633,0.7511009174311927,2.4131402734515497,0.5074946466809421,0.5096359743040685,0.5192719486081371,0.9828693790149893,0.7708779443254818,9.045084971874737e-05
9,2.8224766274548454,0.46633027522935777,0.44605504587155964,0.4712844036697248,0.931743119266055,0.7643577981651376,2.2376711567668384,0.5535331905781584,0.5556745182012848,0.5642398286937902,0.987152034261242,0.7890792291220556,8.802029828000154e-05
10,2.6719579526043815,0.49137614678899083,0.4739908256880734,0.49628440366972476,0.936743119266055,0.7722018348623854,2.1814933063131328,0.5738758029978587,0.5802997858672377,0.5856531049250535,0.9892933618843683,0.8008565310492506,8.535533905932737e-05
11,2.535747038290041,0.5157798165137615,0.49903669724770644,0.5212385321100917,0.9393577981651376,0.7830733944954128,2.165634227003224,0.563169164882227,0.5813704496788008,0.5899357601713062,0.9828693790149893,0.7933618843683083,8.247240241650918e-05
12,2.4351823201310743,0.5396330275229357,0.5191284403669725,0.5422018348623853,0.9386238532110092,0.7883027522935779,2.1212961946871345,0.5952890792291221,0.5899357601713062,0.5985010706638115,0.987152034261242,0.7955032119914347,7.938926261462365e-05
13,2.291990032371031,0.5606422018348624,0.5408256880733945,0.5614220183486238,0.9459174311926606,0.8014678899082569,2.055266121725454,0.6092077087794433,0.6274089935760171,0.6349036402569593,0.9892933618843683,0.8222698072805139,7.612492823579742e-05
14,2.17549261919949,0.5868807339449541,0.5651376146788991,0.5879816513761468,0.945091743119266,0.8087614678899082,2.153202781330084,0.5877944325481799,0.5952890792291221,0.6017130620985011,0.9882226980728052,0.797644539614561,7.269952498697731e-05
15,2.0610758917047343,0.6093119266055046,0.5944495412844036,0.6138073394495412,0.9507339449541284,0.8184862385321101,2.1386972867446996,0.5995717344753747,0.6167023554603854,0.6231263383297645,0.987152034261242,0.8179871520342612,6.913417161825447e-05
16,2.0154518452915577,0.6175688073394495,0.5974311926605504,0.6175229357798165,0.9493577981651377,0.8256422018348624,2.123732039453641,0.5877944325481799,0.607066381156317,0.6145610278372591,0.9860813704496788,0.8115631691648822,6.545084971874736e-05
17,1.931642010321311,0.6308256880733945,0.6173853211009175,0.6363761467889908,0.9531651376146789,0.8311467889908257,2.106462679276885,0.6102783725910065,0.6220556745182013,0.6274089935760171,0.9892933618843683,0.816916488222698,6.167226819279526e-05
18,1.8440183983374079,0.6511926605504588,0.6319724770642202,0.6521100917431193,0.953256880733945,0.8324311926605504,2.1493181962783128,0.6017130620985011,0.5985010706638115,0.6059957173447538,0.9860813704496788,0.8201284796573876,5.7821723252011525e-05
19,1.758612284704086,0.6690825688073394,0.6515137614678899,0.6701376146788991,0.9552293577981651,0.8464220183486239,2.20291164013252,0.607066381156317,0.607066381156317,0.6124197002141327,0.9882226980728052,0.8094218415417559,5.392295478639223e-05
20,1.720615083755703,0.6772477064220184,0.6574311926605505,0.6772935779816514,0.9543577981651377,0.8496788990825688,2.1955820023375354,0.6027837259100642,0.6081370449678801,0.6134903640256959,0.9903640256959315,0.8190578158458244,4.999999999999998e-05
21,1.658764658717934,0.6860550458715596,0.6691284403669725,0.6873853211009174,0.9576605504587156,0.8527981651376146,2.2303564553597757,0.619914346895075,0.6370449678800857,0.6434689507494646,0.987152034261242,0.8051391862955032,4.607704521360774e-05
22,1.5919106452836902,0.6975229357798165,0.6818807339449541,0.6997706422018348,0.9590366972477065,0.8573394495412844,2.274471261006096,0.6134903640256959,0.6145610278372591,0.6220556745182013,0.9860813704496788,0.8276231263383298,4.217827674798845e-05
23,1.5580593026887386,0.7077522935779816,0.6919266055045872,0.7108256880733945,0.9571100917431192,0.8599082568807339,2.2661614846876907,0.6188436830835118,0.6081370449678801,0.6145610278372591,0.9882226980728052,0.8222698072805139,3.832773180720472e-05
24,1.5235359919399296,0.7207798165137614,0.7011009174311926,0.7196788990825688,0.9577981651376147,0.8617431192660551,2.2826406976140285,0.6049250535331906,0.6145610278372591,0.6209850107066381,0.987152034261242,0.8254817987152034,3.4549150281252616e-05
25,1.4926675634646633,0.7211926605504587,0.703256880733945,0.7208715596330275,0.9599082568807339,0.8674770642201834,2.285213704793305,0.6349036402569593,0.6188436830835118,0.6241970021413277,0.9892933618843683,0.8137044967880086,3.08658283817455e-05
26,1.4354348580334164,0.7322935779816514,0.7163302752293578,0.7339908256880734,0.9611926605504587,0.8698165137614678,2.323579290949558,0.6027837259100642,0.6081370449678801,0.6167023554603854,0.9850107066381156,0.8094218415417559,2.730047501302265e-05
27,1.4090928677462657,0.7398623853211009,0.7218348623853211,0.7376605504587156,0.9622477064220184,0.8762385321100917,2.352835141106387,0.6113490364025695,0.6209850107066381,0.6284796573875803,0.9860813704496788,0.8179871520342612,2.387507176420255e-05
28,1.391614246193422,0.7409633027522936,0.7233944954128441,0.7408256880733946,0.9608256880733945,0.8777981651376147,2.380071943270828,0.6092077087794433,0.6059957173447538,0.6145610278372591,0.9860813704496788,0.8147751605995718,2.061073738537634e-05
29,1.3460768221058976,0.7515596330275229,0.7327064220183486,0.75,0.9635779816513761,0.8795412844036697,2.3785029432758273,0.6188436830835118,0.6167023554603854,0.6220556745182013,0.9882226980728052,0.8190578158458244,1.7527597583490816e-05
30,1.319915877066621,0.7545871559633027,0.7355045871559633,0.7522477064220183,0.9643119266055046,0.8831651376146789,2.3550808026397507,0.6059957173447538,0.6134903640256959,0.6209850107066381,0.9850107066381156,0.815845824411135,1.464466094067262e-05
31,1.3275172857407036,0.7549082568807339,0.7387614678899083,0.7566055045871559,0.9612385321100917,0.8823394495412844,2.3423606205803424,0.6177730192719486,0.6177730192719486,0.6252676659528907,0.9860813704496788,0.816916488222698,1.1979701719998447e-05
32,1.2913058511489028,0.7627064220183486,0.7461926605504587,0.7629357798165137,0.9624311926605504,0.8860091743119266,2.393269951389484,0.6167023554603854,0.6167023554603854,0.6231263383297645,0.9882226980728052,0.816916488222698,9.549150281252628e-06
33,1.2880362919711192,0.7599082568807339,0.7452752293577982,0.7621100917431193,0.9632110091743119,0.8845412844036697,2.3791046775638165,0.6124197002141327,0.6188436830835118,0.6263383297644539,0.987152034261242,0.8211991434689507,7.367991782295387e-06
34,1.2454727462016115,0.7712844036697247,0.7526146788990826,0.7701834862385321,0.9624770642201835,0.8873394495412844,2.4099698960142932,0.6145610278372591,0.6134903640256959,0.6209850107066381,0.987152034261242,0.816916488222698,5.449673790581608e-06
35,1.260206784677068,0.768348623853211,0.7524311926605505,0.768211009174312,0.9628440366972477,0.8885779816513761,2.4144984088056347,0.6102783725910065,0.6113490364025695,0.6167023554603854,0.987152034261242,0.8201284796573876,3.806023374435661e-06
36,1.2588324898098586,0.7685779816513761,0.7511926605504587,0.7686697247706422,0.9630275229357799,0.8877064220183486,2.431295751759531,0.6102783725910065,0.6124197002141327,0.619914346895075,0.9882226980728052,0.8222698072805139,2.447174185242322e-06
37,1.2582555924424337,0.7699541284403669,0.7564678899082569,0.7722935779816513,0.9631192660550458,0.8869266055045871,2.418425675377856,0.6081370449678801,0.6156316916488223,0.6220556745182013,0.987152034261242,0.8233404710920771,1.3815039801161715e-06
38,1.2378998699538204,0.7742201834862386,0.7587155963302752,0.7745871559633027,0.963302752293578,0.8899082568807339,2.4278907387874367,0.607066381156317,0.6113490364025695,0.6177730192719486,0.9882226980728052,0.8190578158458244,6.155829702431167e-07
39,1.2119670064296197,0.7771100917431193,0.7614220183486239,0.7770642201834862,0.9644954128440367,0.8936238532110091,2.3836311247415156,0.6092077087794433,0.6092077087794433,0.6177730192719486,0.9850107066381156,0.8201284796573876,1.5413331334360174e-07
40,1.2588927170770978,0.7671100917431193,0.7559174311926605,0.7727064220183486,0.9642201834862385,0.8859174311926605,2.4254045042287102,0.6027837259100642,0.607066381156317,0.6145610278372591,0.9860813704496788,0.8222698072805139,0.0
